Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
19.2,0.593409,0.6991,1.45492,0.394498,0.23103,0.159348,0.0237694,0.0155448,0.0409744,0.0404501,0.0141848
19.3,0.593103,0.697352,1.45253,0.394458,0.231096,0.159174,0.0240314,0.0157129,0.0414951,0.0409547,0.0143426
19.4,0.592819,0.695612,1.45013,0.394408,0.23116,0.158997,0.0242952,0.0158818,0.0420197,0.0414622,0.0145012
19.5,0.592554,0.693881,1.44771,0.394348,0.23122,0.158815,0.0245609,0.0160516,0.0425483,0.0419726,0.0146607
19.6,0.59231,0.692157,1.44528,0.394279,0.231279,0.158629,0.0248284,0.0162222,0.0430809,0.0424861,0.0148209
19.7,0.592084,0.690442,1.44283,0.3942,0.231335,0.158439,0.0250978,0.0163937,0.0436174,0.0430024,0.0149819
19.8,0.591878,0.688734,1.44037,0.394112,0.231389,0.158245,0.0253691,0.016566,0.0441579,0.0435217,0.0151438
19.9,0.59169,0.687032,1.4379,0.394016,0.23144,0.158047,0.0256422,0.0167391,0.0447023,0.0440439,0.0153064
20,0.591521,0.685338,1.43541,0.39391,0.23149,0.157846,0.0259173,0.0169131,0.0452506,0.0445689,0.0154697
20.1,0.591368,0.68365,1.4329,0.393796,0.231537,0.15764,0.0261943,0.0170878,0.0458029,0.0450968,0.0156339
20.2,0.591234,0.681968,1.43039,0.393674,0.231582,0.157431,0.0264732,0.0172634,0.0463591,0.0456275,0.0157987
20.3,0.591116,0.680292,1.42786,0.393544,0.231625,0.157218,0.026754,0.0174399,0.0469192,0.0461609,0.0159643
20.4,0.591014,0.678621,1.42531,0.393405,0.231666,0.157002,0.0270369,0.0176171,0.0474833,0.0466971,0.0161307
20.5,0.590929,0.676956,1.42276,0.393259,0.231705,0.156782,0.0273217,0.0177951,0.0480512,0.0472361,0.0162977
20.6,0.590859,0.675295,1.42019,0.393104,0.231742,0.156559,0.0276085,0.0179739,0.0486231,0.0477777,0.0164654
20.7,0.590805,0.67364,1.4176,0.392943,0.231777,0.156332,0.0278973,0.0181535,0.0491988,0.048322,0.0166339
20.8,0.590766,0.671989,1.41501,0.392773,0.23181,0.156102,0.0281881,0.0183339,0.0497783,0.0488689,0.016803
20.9,0.590741,0.670342,1.4124,0.392597,0.231842,0.155869,0.028481,0.018515,0.0503618,0.0494185,0.0169728
21,0.590731,0.6687,1.40977,0.392413,0.231871,0.155633,0.0287759,0.0186969,0.050949,0.0499706,0.0171432
21.1,0.590735,0.667061,1.40714,0.392222,0.231899,0.155393,0.0290729,0.0188796,0.0515401,0.0505252,0.0173143
